Cvarians477626	T
Cvarians40288	J
Cvarians9980	T
Cvarians50743	LT
Cvarians8121	O
Cvarians55361	O
Cvarians64745	J
Cvarians418404	KLT
Cvarians185190	A
Cvarians68494	E
Cvarians38961	E
Cvarians111244	A
Cvarians167999	E
Cvarians22365	TV
Cvarians253318	Q
Cvarians44626	O
Cvarians131347	T
Cvarians91194	O
Cvarians31334	E
Cvarians74595	L
Cvarians34042	J
Cvarians14243	E
Cvarians72710	J
Cvarians186647	A
Cvarians405340	I
Cvarians2448	J
Cvarians3	Z
Cvarians181099	A
Cvarians6047	Q
Cvarians40587	O
Cvarians476102	C
Cvarians94860	J
Cvarians34232	L
Cvarians1925	A
Cvarians8351	L
Cvarians3788	I
Cvarians304029	E
Cvarians94101	O
Cvarians124921	T
Cvarians10338	A
Cvarians77730	J
Cvarians221579	O
Cvarians178535	Z
Cvarians8870	C
Cvarians217179	C
Cvarians319115	J
Cvarians178683	T
Cvarians342575	J
Cvarians26378	BK
Cvarians478232	P
Cvarians50009	O
Cvarians3709	T
Cvarians94164	M
Cvarians5710	U
Cvarians474955	A
Cvarians4682	H
Cvarians54542	T
Cvarians406653	O
Cvarians81357	E
Cvarians421973	UY
Cvarians416904	A
Cvarians295401	K
Cvarians70917	C
Cvarians33377	L
Cvarians236294	O
Cvarians179650	OT
Cvarians370809	T
Cvarians45754	C
Cvarians92335	O
Cvarians299881	E
Cvarians196599	G
Cvarians459924	J
Cvarians232222	C
Cvarians424187	I
Cvarians74878	Z
Cvarians175234	O
Cvarians68418	C
Cvarians229958	U
Cvarians98559	U
Cvarians381032	L
Cvarians57857	KLT
Cvarians53977	G
Cvarians415757	O
Cvarians37618	I
Cvarians75754	T
Cvarians170801	L
Cvarians52374	O
Cvarians74063	L
Cvarians13661	O
Cvarians463239	I
Cvarians109783	L
Cvarians8494	Q
Cvarians1662	T
Cvarians9476	P
Cvarians25146	H
Cvarians64030	O
Cvarians230718	J
Cvarians369806	I
Cvarians167746	Q
Cvarians8721	Q
Cvarians83903	L
Cvarians180914	DT
Cvarians221995	E
Cvarians161967	Q
Cvarians460533	H
Cvarians11950	C
Cvarians49278	Q
Cvarians15253	L
Cvarians15845	O
Cvarians12009	J
Cvarians128707	O
Cvarians2355	G
Cvarians462896	I
Cvarians400496	J
Cvarians351938	E
Cvarians36699	T
Cvarians185268	O
Cvarians6646	O
Cvarians28876	J
Cvarians7018	OU
Cvarians1832	O
Cvarians17503	U
Cvarians256190	Z
Cvarians68559	J
Cvarians266217	H
Cvarians4366	O
Cvarians401346	H
Cvarians280024	J
Cvarians265104	O
Cvarians114101	O
Cvarians423028	G
Cvarians399662	C
Cvarians34107	J
Cvarians50176	L
Cvarians403790	C
Cvarians45330	GMW
Cvarians183208	P
Cvarians475624	T
Cvarians54767	K
Cvarians3091	J
Cvarians81234	K
Cvarians124	O
Cvarians10714	Q
Cvarians151067	C
Cvarians132486	C
Cvarians473704	K
Cvarians93489	E
Cvarians128474	L
Cvarians11501	IU
Cvarians101506	F
Cvarians3195	J
Cvarians174161	J
Cvarians401523	K
Cvarians109110	L
Cvarians54586	O
Cvarians349077	O
Cvarians103551	O
Cvarians136345	J
Cvarians75277	O
Cvarians72551	K
Cvarians68805	AJ
Cvarians409213	J
Cvarians58415	T
Cvarians47460	K
Cvarians87441	L
Cvarians10075	CO
Cvarians28383	U
Cvarians70183	O
Cvarians233258	BK
Cvarians496309	L
Cvarians95878	O
Cvarians223136	U
Cvarians195529	BDLT
Cvarians230360	K
Cvarians186770	J
Cvarians14477	O
Cvarians11834	C
Cvarians73952	H
Cvarians71188	T
Cvarians73503	O
Cvarians21833	E
Cvarians56470	U
Cvarians349494	J
Cvarians155210	Z
Cvarians5454	G
Cvarians49191	U
Cvarians367160	J
Cvarians283893	T
Cvarians229257	T
Cvarians111706	P
Cvarians3891	A
Cvarians180412	O
Cvarians47929	O
Cvarians15894	Z
Cvarians416662	T
Cvarians34391	O
Cvarians18930	O
Cvarians112246	G
Cvarians120018	I
Cvarians90296	Z
Cvarians171062	J
Cvarians470129	Z
Cvarians283568	O
Cvarians463590	O
Cvarians70275	I
Cvarians404205	EIOV
Cvarians460787	F
Cvarians23744	U
Cvarians66027	U
Cvarians93945	O
Cvarians7326	JKL
Cvarians33195	J
Cvarians20117	O
Cvarians4482	J
Cvarians186718	O
Cvarians64848	E
Cvarians15529	T
Cvarians135065	E
Cvarians402449	U
Cvarians245159	C
Cvarians59122	K
Cvarians293361	G
Cvarians92922	Z
Cvarians137363	O
Cvarians42327	U
Cvarians166787	T
Cvarians460255	L
Cvarians182902	I
Cvarians13597	K
Cvarians21764	J
Cvarians468426	O
Cvarians99655	U
Cvarians129213	O
Cvarians18668	O
Cvarians46953	T
Cvarians85169	Z
Cvarians306950	T
Cvarians138120	BK
Cvarians82411	L
Cvarians7503	T
Cvarians12532	Q
Cvarians69007	H
Cvarians177820	-
Cvarians472780	H
Cvarians26503	B
Cvarians490536	O
Cvarians355676	A
